Your Publication's Number|Title|Earliest Priority Date|Publication Date|Assignee(s)|Inventors|CPC Codes
US8597180_B2|Expandable thoracic access port|8/12/2010|12/3/2013|COVIDIEN|"O'prey, Cormac (Bishops Stortford);
Wilkins, Rebecca Ann (Royston);
Copeland, Thomas John Hector (Cambridge);
Beckett, Trevor (Milton);
Fuller, Daniel Leonard (Haverhill);
Silk, Christopher John (Cambridge);
Brown, Stephen (Bishops Stortford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9247955_B2|Thoracic access port|8/12/2010|2/2/2016|COVIDIEN|"O'prey, Cormac (Bishops Stortford);
Wilkins, Rebecca Ann (Royston);
Copeland, Thomas John Hector (Cambridge);
Fuller, Daniel Leonard (Haverhill);
Clark, Charlotte Adele (Cambridge)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9358065_B2|Shaped electrode bipolar resection apparatus, system and methods of use|6/23/2011|6/7/2016|COVIDIEN|"Brannan, Joseph D. (Erie);
Ladtkow, Casey M. (Westminster)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120029320_A1|Systems and methods for processing multiple physiological signals|7/30/2010|2/2/2012|COVIDIEN|"Addison, Paul Stanley (Edinburgh);
Watson, James N. (Dunfermline);
Stoughton, Robert S. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9247931_B2|Microwave-powered reactor and method for in situ forming implants|6/29/2010|2/2/2016|COVIDIEN|Belcheva, Nadya (Essex Junction)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61L: METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES"
US20130006133_A1|Methods and systems for monitoring volumetric carbon dioxide|6/30/2011|1/3/2013|COVIDIEN|"Doyle, Peter R. (Vista);
Jafari, Mehdi M. (Laguna Hills);
Kimm, Gardner (Carlsbad)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20130006134_A1|Methods and systems for monitoring volumetric carbon dioxide|6/30/2011|1/3/2013|COVIDIEN|"Doyle, Peter R. (Vista);
Jafari, Mehdi M. (Laguna Hills);
Kimm, Gardner (Carlsbad)"|"A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US8763876_B2|Surgical instrument and cartridge for use therewith|6/30/2011|7/1/2014|COVIDIEN|Kostrzewski, Stanislaw (Newtown)|"F04C: ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS ; ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US8801619_B2|Photoplethysmography for determining ventilation weaning readiness|6/30/2011|8/12/2014|COVIDIEN|"Baker, Jr. Clark R. (Newman);
Campbell, Shannon (Boulder)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8852115_B2|Patient monitoring systems with goal indicators|6/30/2011|10/7/2014|COVIDIEN|Muir, Randall (Golden)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120116350_A1|Translation dilator and stand alone vascular guide catheter|7/7/2010|5/10/2012|"COVIDIEN;
TYCO HEALTHCARE"|"Lenker, Jay A. (Laguna Beach);
Strauss, Brian M. (Trabuco Canyon);
Shimada, Lynn (Orange);
Torres, Serefino (Mission Viejo)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8267302_B2|Surgical instrument and loading unit for use therewith|9/23/2008|9/18/2012|COVIDIEN|"Scirica, Paul A. (Huntington);
Farascioni, David (Bethel);
Racenet, Danyel (Middletown);
Kasvikis, Dino (Middletown);
Robbins, Michael (New Haven)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8157149_B2|Crimp and release of suture holding buttress material|3/31/2009|4/17/2012|COVIDIEN|"Olson, Lee (Wallingford);
Aranyi, Ernie (Easton);
Mozdzierz, Patrick (Rocky Hill)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8292855_B2|Access assembly with adjustable seal member|1/9/2008|10/23/2012|COVIDIEN|Heinrich, Russell (Madison)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8628557_B2|Surgical forceps|7/11/2011|1/14/2014|COVIDIEN|"Townsend, Jeffrey R. (Loveland);
Sims, Grant T. (Littleton);
Collings, Chase (Hayden)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8745840_B2|Surgical forceps and method of manufacturing thereof|7/11/2011|6/10/2014|COVIDIEN|"Hempstead, Russell D. (Lafayette);
Hart, Keir (Lafayette)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION;
B29C: SHAPING OR JOINING OF PLASTICS; SHAPING OF MATERIAL IN A PLASTIC STATE, NOT OTHERWISE PROVIDED FOR; AFTER-TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING;
B29L: INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES;
B23P: OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS"
US8753333_B2|System for determining proximity relative to a nerve|3/10/2010|6/17/2014|COVIDIEN|"Johnson, Kristin D. (Louisville);
Roy, Jeffrey M. (Boulder);
Coulson, Rebecca J. (Lyons);
Alexander, Scott F. (Westminster)"|"A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US9039732_B2|Surgical forceps|7/11/2011|5/26/2015|COVIDIEN|"Townsend, Jeffrey R. (Loveland);
Sims, Grant T. (Littleton);
Collings, Chase (Hayden)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9844384_B2|Stand alone energy-based tissue clips|7/11/2011|12/19/2017|COVIDIEN|"Martsinovskiy, Georgy (Saint-Petersburg);
Misuchenko, Igoris (Saint-Petersburg);
Chernov, Boris (Saint-Petersburg);
Verbitsky, Mikhail (Stoughton);
Verbitsky, Mikhail (Stougton)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8929963_B2|Devices and methods for reducing wireless communication in a patient monitoring system|7/14/2011|1/6/2015|COVIDIEN|Lisogurski, Daniel (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G06F: ELECTRIC DIGITAL DATA PROCESSING;
Y10S: TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS"
US8888771_B2|Clip-over disposable assembly for use with hemostat-style surgical instrument and methods of manufacturing same|7/15/2011|11/18/2014|COVIDIEN|Twomey, John R. (Longmont)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8960521_B2|Loose staples removal system|7/15/2011|2/24/2015|COVIDIEN|Kostrzewski, Stanislaw (Newtown)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8617155_B2|System and method for determining proximity relative to a critical structure|3/10/2010|12/31/2013|COVIDIEN|"Johnson, Kristin D. (Louisville);
Podhajsky, Ronald J. (Boulder);
Valentine, Christopher A. (Boulder);
Alexander, Scott F. (Westminster)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968297_B2|Microwave and RF ablation system and related method for dynamic impedance matching|7/19/2011|3/3/2015|COVIDIEN|Collins, George J. (Fort Collins)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9028482_B2|Microwave and RF ablation system and related method for dynamic impedance matching|7/19/2011|5/12/2015|COVIDIEN|Collins, George J. (Fort Collins)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9192422_B2|System and method of matching impedances of an electrosurgical generator and/or a microwave generator|7/19/2011|11/24/2015|COVIDIEN|Collins, George J. (Fort Collins)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10441288_B2|Anastomotic device|5/20/2011|10/15/2019|COVIDIEN|"Vestweber, Boris (Koln);
Vestweber, Boris (Cologne)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130023925_A1|Articulating Surgical Apparatus|7/20/2011|1/24/2013|COVIDIEN|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8568390_B2|Articulating surgical apparatus|7/20/2011|10/29/2013|COVIDIEN|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8574263_B2|Coaxial coil lock|7/20/2011|11/5/2013|COVIDIEN|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8603135_B2|Articulating surgical apparatus|7/20/2011|12/10/2013|COVIDIEN|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9028478_B2|Articulating surgical apparatus|7/20/2011|5/12/2015|COVIDIEN|Mueller, Peter M. (Frederick)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US10004526_B2|Ultrasonic dissection system|7/25/2011|6/26/2018|COVIDIEN|"Dycus, Sean T. (Zurich);
Muszala, Melissa J. (Wallisellen)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130027205_A1|Automatic configuration protocol for a patient monitoring network|7/27/2011|1/31/2013|COVIDIEN|Hansen, Bryan (Mead)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130026209_A1|Surgical Fastener Applying Apparatus|7/27/2011|1/31/2013|COVIDIEN|"Mozdzierz, Patrick (Glastonbury);
Penna, Christopher (Guilford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8578082_B2|Configurable patient monitoring system|7/29/2010|11/5/2013|COVIDIEN|"Ma, Wanran (Boulder);
Medina, Casey (Westminster);
Cagle, Christopher L. (Arvada)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120109145_A1|Circumcision device|11/3/2010|5/3/2012|COVIDIEN|Gumkowski, Emily (Durham)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120130178_A1|Access apparatus including desufflation control mechanism|11/23/2010|5/24/2012|COVIDIEN|"Richard, Paul D. (Shelton);
Hartoumbekis, Elias (New Haven)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20120130185_A1|Access device including expandable distal flange|11/24/2010|5/24/2012|COVIDIEN|Pribanic, Russell (Roxbury)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8256653_B2|Surgical instrument with clamp|5/5/2008|9/4/2012|COVIDIEN|Farascioni, David (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130030267_A1|Multi-purpose sensor system|7/29/2011|1/31/2013|COVIDIEN|"Schlottau, Friso (Lyons);
Lin, Andy S. (Boulder);
Lisogurski, Daniel (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130025597_A1|Methods and systems for monitoring a ventilated patient with an oximeter|7/29/2011|1/31/2013|COVIDIEN|"Doyle, Peter (Vista);
Jafari, Mehdi (Laguna Hills)"|"A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION"
US8926504_B2|Access assembly|10/1/2010|1/6/2015|COVIDIEN|Okoniewski, Gregory (North Haven)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9242058_B2|Tracheal tube positioning devices and methods|7/29/2011|1/26/2016|COVIDIEN|"Hayman, Sarah (Boulder);
Lally, Olaf (Galway);
Mecca, Roger (Corona Del Mar);
Morris, Sean (Co. Roscommon);
Dewitt, Pierrat Neville (Golden);
Keane, Hughie (Leitrim)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8317075_B2|Raised boss for staple guide|1/9/2008|11/27/2012|COVIDIEN|Milliman, Keith L. (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8734345_B2|Real time intravascular monitoring device|8/1/2011|5/27/2014|COVIDIEN|"Deshpande, Manish (Canton);
Kapur, Terri A. (Sharon)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9028479_B2|Electrosurgical apparatus with real-time RF tissue energy control|8/1/2011|5/12/2015|COVIDIEN|Orszulak, James H. (Nederland)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H03F: AMPLIFIERS"
US9011464_B2|Self-centering clip and jaw|11/2/2010|4/21/2015|COVIDIEN|Zammataro, Tom (Hamden)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8210413_B2|Device and method for controlling compression of tissue|4/27/2009|7/3/2012|COVIDIEN|"Whitman, Michael P. (New Hope);
Malinouskas, Donald (Monroe);
Zeichner, David A. (Oxford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8172122_B2|Surgical stapling instrument with independent sequential firing|6/4/2008|5/8/2012|COVIDIEN|"Wenchell, Thomas (Durham);
Farascioni, David (Bethel);
Kasvikis, Dino (Middletown);
Roy, Philip C. (Orange);
Racenet, Danyel J. (Tarinelli) (Middletown);
(Tarinelli), Racenet Danyel J. (Middletown)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8556152_B2|Retraction mechanism with clutch-less drive for use with a surgical apparatus|7/1/2008|10/15/2013|COVIDIEN|"Marczyk, Stanislaw (Stratford);
Bender-Zanoni, Joseph (Hamden);
Marczyk, Stanislaw (Startford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8702737_B2|Surgical forceps|8/8/2011|4/22/2014|COVIDIEN|"Chojin, Edward M. (Boulder);
Lee, Weng-Kai K. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130041292_A1|Customizable Haptic Assisted Robot Procedure System with Catalog of Specialized Diagnostic Tips|8/9/2011|2/14/2013|COVIDIEN|Cunningham, James S. (Boulder)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8852186_B2|Microwave sensing for tissue sealing|8/9/2011|10/7/2014|COVIDIEN|Keller, Craig A. (Boulder)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61N: ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY"
US8870860_B2|Microwave antenna having a coaxial cable with an adjustable outer conductor configuration|8/9/2011|10/28/2014|COVIDIEN|"Lee, Anthony C. (San Francisco);
Bonn, Kenlyn S. (Arvada)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968306_B2|Surgical forceps|8/9/2011|3/3/2015|COVIDIEN|Unger, Jeffrey R. (Longmont)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9123155_B2|Apparatus and method for using augmented reality vision system in surgical procedures|8/9/2011|9/1/2015|COVIDIEN|"Mueller, Peter M. (Frederick);
Allen, Iv James D. (Broomfield);
Cunningham, James S. (Boulder)"|"G06T: IMAGE DATA PROCESSING OR GENERATION, IN GENERAL;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
H04N: PICTORIAL COMMUNICATION, e.g. TELEVISION;
G09G: ARRANGEMENTS OR CIRCUITS FOR CONTROL OF INDICATING DEVICES USING STATIC MEANS TO PRESENT VARIABLE INFORMATION;
G06K: RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS"
US9554866_B2|Apparatus and method for using a remote control system in surgical procedures|8/9/2011|1/31/2017|COVIDIEN|"Mueller, Peter M. (Frederick);
Cunningham, James S. (Boulder)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20130172915_A1|Barbed implantable devices|8/10/2010|7/4/2013|COVIDIEN|"Sargeant, Timothy (Guilford);
Thomas, Jonathan (New Haven)"|"A61F: FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, e.g. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS;
A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
D04B: KNITTING;
D10B: INDEXING SCHEME ASSOCIATED WITH SUBLASSES OF SECTION D, RELATING TO TEXTILES"
US20120037526_A1|Storage and dispensing system for reusable syringe|8/12/2010|2/16/2012|COVIDIEN|"Tremblay, Kathleen (Westfield);
Mulone, Anthony (Marston Mills);
Howland-Copp, Warren W. (Chicopee);
Delnickas, Jeffrey T. (Kingston)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US9750502_B2|Surgical stapling device for performing circular anastomosis and surgical staples for use therewith|10/1/2010|9/5/2017|COVIDIEN|"Scirica, Paul (Huntington);
Racenet, David (Middletown)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8899461_B2|Tissue stop for surgical instrument|10/1/2010|12/2/2014|COVIDIEN|Farascioni, David (Bethel)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8480703_B2|Surgical device|11/19/2010|7/9/2013|COVIDIEN|"Malinouskas, Donald (Monroe);
Zeichner, David A. (Oxford);
Nicholas, David A. (Trumbull)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8747309_B2|Suspension system for minimally invasive surgery|11/9/2010|6/10/2014|COVIDIEN|Viola, Frank (Sandy Hook)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9918617_B2|Mountable camera for laparoscopic surgery|11/2/2010|3/20/2018|COVIDIEN|"Viola, Frank (Sandy Hook);
Horton, Kenneth (South Glastonbury)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9375208_B2|Wound closure device|12/30/2010|6/28/2016|COVIDIEN|"Hotter, Joseph (Lyon);
Hotter, Joseph (Lyons)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120053433_A1|SYSTEM AND METHOD TO DETERMINE SpO2 VARIABILITY AND ADDITIONAL PHYSIOLOGICAL PARAMETERS TO DETECT PATIENT STATUS|8/24/2010|3/1/2012|COVIDIEN|"Sigl, Jeffrey C. (Medway);
Chamoun, Nassib G. (Needham);
Greenwald, Scott D. (Medfield);
Manberg, Paul J. (Newton)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
G16H: HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA"
US8562520_B2|Access port|10/1/2010|10/22/2013|COVIDIEN|Rockrohr, Brian (Waterbury)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8685056_B2|Surgical forceps|8/18/2011|4/1/2014|COVIDIEN|"Mueller, Peter M. (Frederick);
Gadsby, Peter D. (Broomfield);
Evans, Allan J. (Golden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8961552_B2|Bladeless obturators and bladeless obturator members|9/21/2010|2/24/2015|COVIDIEN|"Smith, Robert C. (Middletown);
Fischvogt, Gregory (Hamden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968307_B2|Surgical forceps|8/18/2011|3/3/2015|COVIDIEN|"Mueller, Peter M. (Frederick);
Gadsby, Peter D. (Broomfield);
Evans, Allan J. (Golden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8968317_B2|Surgical forceps|8/18/2011|3/3/2015|COVIDIEN|"Mueller, Peter M. (Frederick);
Gadsby, Peter D. (Broomfield);
Evans, Allan J. (Golden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9028492_B2|Surgical instruments with removable components|8/18/2011|5/12/2015|COVIDIEN|"Kerr, Duane E. (Loveland);
Horner, Glenn A. (Boulder);
Huseman, Mark J. (Broomfield);
Nau, Jr. William H. (Longmont);
Reschke, Arlan J. (Longmont);
Sharp, Robert M. (Boulder);
Evans, Allan J. (Golden)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8739389_B2|Compound barb medical device and method|2/20/2008|6/3/2014|COVIDIEN|"Cohen, Matthew D. (Berlin);
Maiorino, Nicholas (Branford);
Kosa, Timothy D. (Hamden);
Buchter, Mark S. (Ansonia);
Primavera, Michael (Orange)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8292150_B2|Adapter for powered surgical devices|11/2/2010|10/23/2012|COVIDIEN|Bryant, Teddy R. (San Francisco)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120130186_A1|Adjustable surgical portal|11/23/2010|5/24/2012|COVIDIEN|"Stopek, Joshua (Guilford);
Sargeant, Timothy (Guilford)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8568425_B2|Wire spool for passing of wire through a rotational coupling|11/1/2010|10/29/2013|COVIDIEN|"Ross, Adam J. (Prospect);
Zemlok, Michael A. (Prospect)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120108905_A1|Portal apparatus with a contoured compliant seal|10/28/2010|5/3/2012|COVIDIEN|"Carter, Sally (Wallingford);
Barnes, Andrew (Naugatuck);
Hudon, Andrew (Superior)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8276594_B2|Knife lockout mechanisms for surgical instrument|6/6/2008|10/2/2012|"COVIDIEN;
TYCO HEALTHCARE ALP"|Shah, Sachin (Milford)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US20130053717_A1|Automatic ventilator challenge to induce spontaneous breathing efforts|8/30/2011|2/28/2013|COVIDIEN|"Doyle, Peter R. (Vista);
Vandine, J. Doug (Manteca)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8727973_B2|Seal port with adjustable height|11/23/2010|5/20/2014|COVIDIEN|Okoniewski, Gregory (North Haven)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9033973_B2|System and method for DC tissue impedance sensing|8/30/2011|5/19/2015|COVIDIEN|"Smith, Robert B. (Loveland);
Johnston, Mark A. (Boulder);
Krapohl, James E. (Broomfield)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9155854_B2|Tracheal tube with visualization device and integrated flushing system|8/31/2011|10/13/2015|COVIDIEN|"Hayman, Sarah (Boulder);
Dewitt, Pierrat Neville (Golden);
Wood, Lockett (Lyons);
Pierrat, Neville Dewitt (Golden)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US20120157783_A1|Self deploying bodily opening protector|12/20/2010|6/21/2012|COVIDIEN|"Okoniewski, Greg (North Haven);
Ebner, Timothy D. (New Haven)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US20120157782_A1|Hand access device|12/20/2010|6/21/2012|COVIDIEN|Alfieri, Francesco (Lincoln)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8408440_B2|Surgical stapling apparatus|3/31/2009|4/2/2013|COVIDIEN|"Olson, Lee (Wallingford);
Aranyi, Ernie (Easton);
Mozdzierz, Patrick (Rocky Hill)"|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
Y10T: TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION"
US8550992_B2|Two-part access assembly|12/20/2010|10/8/2013|COVIDIEN|Kleyman, Gennady (Brooklyn)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8641610_B2|Access assembly with translating lumens|12/20/2010|2/4/2014|COVIDIEN|"Bettuchi, Michael (Middletown);
Okoniewski, Greg (North Haven)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8668642_B2|Port device including retractable endoscope cleaner|11/23/2010|3/11/2014|COVIDIEN|Kleyman, Gennady (Brooklyn)|"A61B: DIAGNOSIS; SURGERY; IDENTIFICATION;
A61M: DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY ; DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY ; DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
US8696557_B2|Access assembly including inflatable seal member|12/21/2010|4/15/2014|COVIDIEN|Fischvogt, Greg (Hamden)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US8864659_B2|Seal anchor for use in surgical procedures|11/23/2010|10/21/2014|COVIDIEN|Davis, Michael (Austin)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9011324_B2|Access assembly including one or more foldable caps|11/24/2010|4/21/2015|COVIDIEN|Okoniewski, Gregory (North Haven)|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
US9113909_B2|Surgical vessel sealer and divider|9/1/2011|8/25/2015|COVIDIEN|"Twomey, John R. (Longmont);
Fry, Monte S. (Longmont)"|A61B: DIAGNOSIS; SURGERY; IDENTIFICATION
